"","NAME_1","NAME_2"
"1","Baringo","805"
"2","Baringo","Baringo Central"
"3","Baringo","Baringo North"
"4","Baringo","Baringo South"
"5","Baringo","Eldama Ravine"
"6","Baringo","Mogotio"
"7","Baringo","Tiaty"
"81","Bomet","Bomet Central"
"82","Bomet","Bomet East"
"83","Bomet","Chepalungu"
"84","Bomet","Konoin"
"85","Bomet","Sotik"
"148","Bungoma","Bumula"
"151","Bungoma","Kabuchai"
"152","Bungoma","Kanduyi"
"153","Bungoma","Kimilili"
"154","Bungoma","Likuyani"
"155","Bungoma","Lugari"
"156","Bungoma","Mt. Elgon"
"157","Bungoma","Sirisia"
"158","Bungoma","Tongaren"
"149","Bungoma","Webute West"
"150","Bungoma","Webuye East"
"227","Busia","Budalangi"
"228","Busia","Butula"
"229","Busia","Funyula"
"230","Busia","Matayos"
"231","Busia","Nambale"
"232","Busia","Teso North"
"233","Busia","Teso South"
"277","Elgeyo-Marakwet","Keiyo North"
"278","Elgeyo-Marakwet","Keiyo South"
"279","Elgeyo-Marakwet","Marakwet East"
"280","Elgeyo-Marakwet","Marakwet West"
"281","Embu","Manyatta"
"282","Embu","Mbeere North"
"283","Embu","Mbeere South"
"284","Embu","Runyenjes"
"285","Garissa","Balambala"
"286","Garissa","Daadab"
"287","Garissa","Fafi"
"288","Garissa","Garissa Township"
"289","Garissa","Ijara"
"290","Garissa","Lagdera"
"291","Homa Bay","Homa Bay Town"
"292","Homa Bay","Kabondo Kasipul"
"293","Homa Bay","Karachuonyo"
"294","Homa Bay","Kasipul"
"295","Homa Bay","Mbita"
"296","Homa Bay","Ndhiwa"
"297","Homa Bay","Rangwe"
"298","Homa Bay","Suba"
"299","Homa Bay","unknown 6"
"300","Isiolo","Isiolo North"
"301","Isiolo","Isiolo South"
"8","Kajiado","Kajiado Central"
"9","Kajiado","Kajiado East"
"10","Kajiado","Kajiado North"
"11","Kajiado","Kajiado South"
"12","Kajiado","Kajiado West"
"13","Kakamega","Butere"
"16","Kakamega","Ikolomani"
"17","Kakamega","Khwisero"
"18","Kakamega","Lugari"
"19","Kakamega","Lurambi"
"20","Kakamega","Malava"
"21","Kakamega","Matungu"
"22","Kakamega","Mumias East"
"23","Kakamega","Mumias West"
"14","Kakamega","Navakholo"
"15","Kakamega","Shinyalu"
"24","Kericho","Ainamoi"
"25","Kericho","Belgut"
"26","Kericho","Bureti"
"27","Kericho","Kipkelion East"
"28","Kericho","Kipkelion West"
"29","Kericho","Sigowet/Soin"
"30","Kiambu","Gatundu North"
"34","Kiambu","Gatundu South"
"35","Kiambu","Githunguri"
"36","Kiambu","Juja"
"37","Kiambu","Kabete"
"38","Kiambu","Kiambaa"
"39","Kiambu","Kiambu"
"40","Kiambu","Kikuyu"
"41","Kiambu","Lari"
"31","Kiambu","Limuru"
"32","Kiambu","Ruiru"
"33","Kiambu","Thika Town"
"42","Kilifi","Ganze"
"43","Kilifi","Kaloleni"
"44","Kilifi","Kilifi North"
"45","Kilifi","Kilifi South"
"46","Kilifi","Magarini"
"47","Kilifi","Malindi"
"48","Kilifi","Rabai"
"49","Kirinyaga","Gichugu"
"50","Kirinyaga","Kirinyaga Central"
"51","Kirinyaga","Mwea"
"52","Kirinyaga","Ndia"
"53","Kisii","Bobasi"
"54","Kisii","Bomachoge Borabu"
"55","Kisii","Bomachoge Chache"
"56","Kisii","Bonchari"
"57","Kisii","Kitutu Chache North"
"58","Kisii","Kitutu Chache South"
"59","Kisii","Nyaribari Chache"
"60","Kisii","Nyaribari Masaba"
"61","Kisii","South Mugirango"
"62","Kisumu","Kisumu Central"
"63","Kisumu","Kisumu East"
"64","Kisumu","Kisumu West"
"65","Kisumu","Muhoroni"
"66","Kisumu","Nyakach"
"67","Kisumu","Nyando"
"68","Kisumu","Seme"
"69","Kitui","Kitui Central"
"70","Kitui","Kitui East"
"71","Kitui","Kitui Rural"
"72","Kitui","Kitui South"
"73","Kitui","Kitui West"
"74","Kitui","Mwingi Central"
"75","Kitui","Mwingi North"
"76","Kitui","Mwingi West"
"77","Kwale","Kinango"
"78","Kwale","Lungalunga"
"79","Kwale","Matuga"
"80","Kwale","Msambweni"
"86","Laikipia","Laikipia East"
"87","Laikipia","Laikipia North"
"88","Laikipia","Laikipia West"
"89","Lamu","Lamu East"
"90","Lamu","Lamu West"
"91","Machakos","Kangundo"
"92","Machakos","Kathiani"
"93","Machakos","Machakos Town"
"94","Machakos","Masinga"
"95","Machakos","Matungulu"
"96","Machakos","Mavoko"
"97","Machakos","Mwala"
"98","Machakos","unknown 7"
"99","Machakos","Yatta"
"100","Makueni","Kaiti"
"101","Makueni","Kibwezi East"
"102","Makueni","Kibwezi West"
"103","Makueni","Kilome"
"104","Makueni","Makueni"
"105","Makueni","Mbooni"
"106","Mandera","Banissa"
"107","Mandera","Lafey"
"108","Mandera","Mandera East"
"109","Mandera","Mandera North"
"110","Mandera","Mandera South"
"111","Mandera","Mandera West"
"112","Mandera","unknown 1"
"113","Marsabit","Laisamis"
"114","Marsabit","Moyale"
"115","Marsabit","North Horr"
"116","Marsabit","Saku"
"117","Meru","Buuri"
"119","Meru","Central Imenti"
"120","Meru","Igembe Central"
"121","Meru","Igembe North"
"122","Meru","Igembe South"
"123","Meru","North Imenti"
"124","Meru","South Imenti"
"125","Meru","Tigania East"
"126","Meru","Tigania West"
"118","Meru","unknown 5"
"127","Migori","Awendo"
"128","Migori","Kuria East"
"129","Migori","Kuria West"
"130","Migori","Nyatike"
"131","Migori","Rongo"
"132","Migori","Suna East"
"133","Migori","Suna West"
"134","Migori","Uriri"
"135","Mombasa","Changamwe"
"136","Mombasa","Jomvu"
"137","Mombasa","Kisauni"
"138","Mombasa","Likoni"
"139","Mombasa","Mvita"
"140","Mombasa","Nyali"
"141","Murang'a","Gatanga"
"142","Murang'a","Kandara"
"143","Murang'a","Kangema"
"144","Murang'a","Kigumo"
"145","Murang'a","Kiharu"
"146","Murang'a","Maragwa"
"147","Murang'a","Mathioya"
"159","Nairobi","Dagoretti North"
"168","Nairobi","Dagoretti South"
"169","Nairobi","Embakasi Central"
"170","Nairobi","Embakasi East"
"171","Nairobi","Embakasi North"
"172","Nairobi","Embakasi South"
"173","Nairobi","Embakasi West"
"174","Nairobi","Kamukunji"
"175","Nairobi","Kasarani"
"160","Nairobi","Kibra"
"161","Nairobi","Langata"
"162","Nairobi","Makadara"
"163","Nairobi","Mathare"
"164","Nairobi","Roysambu"
"165","Nairobi","Ruaraka"
"166","Nairobi","Starehe"
"167","Nairobi","Westlands"
"176","Nakuru","Bahati"
"179","Nakuru","Gilgil"
"180","Nakuru","Kuresoi North"
"181","Nakuru","Kuresoi South"
"182","Nakuru","Molo"
"183","Nakuru","Naivasha"
"184","Nakuru","Nakuru Town East"
"185","Nakuru","Nakuru Town West"
"186","Nakuru","Njoro"
"177","Nakuru","Rongai"
"178","Nakuru","Subukia"
"187","Nandi","Aldai"
"188","Nandi","Chesumei"
"189","Nandi","Emgwen"
"190","Nandi","Mosop"
"191","Nandi","Nandi Hills"
"192","Nandi","Tinderet"
"193","Narok","Emurua Dikirr"
"194","Narok","Kilgoris"
"195","Narok","Narok East"
"196","Narok","Narok North"
"197","Narok","Narok South"
"198","Narok","Narok West"
"199","Nyamira","Borabu"
"200","Nyamira","Kitutu Masaba"
"201","Nyamira","North Mugirango"
"202","Nyamira","West Mugirango"
"203","Nyandarua","Kinangop"
"204","Nyandarua","Kipipiri"
"205","Nyandarua","Ndaragwa"
"206","Nyandarua","Ol Jorok"
"207","Nyandarua","Ol Kalou"
"208","Nyeri","Kieni"
"209","Nyeri","Mathira"
"210","Nyeri","Mukurweini"
"211","Nyeri","Nyeri Town"
"212","Nyeri","Othaya"
"213","Nyeri","Tetu"
"214","Samburu","Samburu East"
"215","Samburu","Samburu North"
"216","Samburu","Samburu West"
"217","Siaya","Alego Usonga"
"218","Siaya","Bondo"
"219","Siaya","Gem"
"220","Siaya","Rarieda"
"221","Siaya","Ugenya"
"222","Siaya","Ugunja"
"223","Taita Taveta","Mwatate"
"224","Taita Taveta","Taveta"
"225","Taita Taveta","Voi"
"226","Taita Taveta","Wundanyi"
"234","Tana River","Bura"
"235","Tana River","Galole"
"236","Tana River","Garsen"
"237","Tharaka-Nithi","Chuka/Igambang'Ombe"
"238","Tharaka-Nithi","Igembe South"
"239","Tharaka-Nithi","Maara"
"240","Tharaka-Nithi","Tharaka"
"241","Trans Nzoia","Cherangany"
"242","Trans Nzoia","Endebess"
"243","Trans Nzoia","Kiminini"
"244","Trans Nzoia","Kwanza"
"245","Trans Nzoia","Saboti"
"246","Trans Nzoia","unknown 4"
"247","Turkana","Loima"
"248","Turkana","Turkana Central"
"249","Turkana","Turkana East"
"250","Turkana","Turkana North"
"251","Turkana","Turkana South"
"252","Turkana","Turkana West"
"253","Turkana","unknown 2"
"254","Uasin Gishu","Ainabkoi"
"255","Uasin Gishu","Kapseret"
"256","Uasin Gishu","Kesses"
"257","Uasin Gishu","Moiben"
"258","Uasin Gishu","Soy"
"259","Uasin Gishu","Turbo"
"260","Vihiga","Emuhaya"
"261","Vihiga","Hamisi"
"262","Vihiga","Luanda"
"263","Vihiga","Sabatia"
"264","Vihiga","Vihiga"
"265","Wajir","Eldas"
"266","Wajir","Tarbaj"
"267","Wajir","Wajir East"
"268","Wajir","Wajir North"
"269","Wajir","Wajir South"
"270","Wajir","Wajir West"
"271","West Pokot","Kacheliba"
"272","West Pokot","Kapenguria"
"273","West Pokot","Pokot South"
"274","West Pokot","Sigor"
"275","West Pokot","unknown 3"
"276","West Pokot","unknown 8"
